PG,KO,NOC,HRL,CVX,CCI,KMI,COP,VZ,GOOG,AMZN,BA,JNJ,ABBV,QCOM,PFE,WMT,BRK
78.879997,40.779999,69.510002,20.459999,119.18,70.529999,38.779999,60.139999,49.43,404.101715,262.119995,84.300003,82.739998,40.75,66.5,29.23,76.309998,105.529999
78.32,40.27,70.290001,20.215,117.93,69.699997,37.84,59.220001,49,399.526459,259.230011,84.790001,82.199997,40.77,65.980003,29.18,75.959999,104.660004
77.879997,40.209999,70.43,20.084999,116.639999,69.690002,37.549999,58.380001,49.049999,390.490234,255.720001,84.07,81.790001,41.310001,64.669998,28.959999,75.550003,103.910004
78.120003,40.060001,71.75,20.045,117.449997,70.709999,37.52,58.599998,48.990002,386.858856,255.919998,86.040001,81.269997,41.27,65.139999,28.98,76.099998,104.540001
78.82,40.810001,71.860001,20.165001,117.989998,72.309998,38.099998,59.509998,49.52,385.244354,258.850006,87.120003,81.260002,41.959999,66,29.030001,77.239998,105.379997
78.489998,40.779999,71.75,20.135,118.889999,72.489998,38.75,59.98,49.470001,388.930389,261.779999,87.339996,81.830002,42.650002,66.279999,29.49,78.279999,105.269997
79.370003,41.130001,72.040001,20.35,119.959999,73.18,39,60.400002,49.810001,393.878204,264.73999,87.959999,82.139999,43.419998,67.239998,29.93,77.360001,106.379997
79.510002,40.91,72.029999,20.325001,120.459999,73.519997,38.52,59.630001,50.490002,393.436066,270.119995,88.290001,82.25,42.970001,67.019997,30.450001,77.629997,106.5
79.790001,40.849998,71.849998,20.450001,118.809998,73.440002,38.549999,58.720001,50.66,390.435608,271.079987,88.440002,82.720001,42.869999,66.230003,30.610001,78.440002,106.839996
79.830002,41.400002,71.32,20.315001,117.339996,73.559998,38.139999,58.009998,50.799999,390.75354,269.309998,87.449997,82.330002,41.669998,65.779999,30.540001,78.230003,105.290001
79.980003,42.139999,70.93,20.459999,116.400002,73.690002,38.240002,57.169998,50.209999,390.833008,270.799988,86.470001,83.360001,42.139999,65.080002,30.799999,78.529999,106.419998
